company,mean_news_volume
chevron,100.98477157360406
starbucks,108.38578680203045
comcast,109.70558375634518
merckco,111.36294416243655
walmart,116.48223350253807
salesforce_com,121.1497461928934
coca_cola_co,121.93401015228426
nvidia,122.18527918781726
honeywell,122.28426395939087
verizon,131.75888324873097
pfizer,134.41370558375635
exxon_mobil,143.246192893401
nike,143.95685279187816
qualcomm,147.89086294416245
adobe_systems,157.26903553299493
johnson_johnson,168.10659898477158
general_motors,175.76903553299493
general_electric,185.60406091370558
oracle,186.4010152284264
wells_fargo,189.23096446700507
cisco_systems,196.56598984771574
at_t,202.61421319796955
ford,224.2715736040609
walt_disney,243.01776649746193
intel,243.41370558375635
citigroup,246.248730964467
bank_of_america,273.56345177664974
tesla_motors,330.79187817258884
nasdaq,376.007614213198
netflix,400.8553299492386
morgan_stanley,422.5431472081218
boeing,441.0862944162437
goldman_sachs,448.20558375634516
jpmorgan,454.9162436548223
microsoft,604.2715736040609
alphabet_inc,906.0406091370559
apple,990.0482233502538
amazon_com,1101.9543147208121
